,"Current-Dollar and ""Real"" Gross Domestic Product",,,,,,30-Jul-20
,,,,1972Q3,"1,290.6","5,415.7",
,,,,1972Q4,"1,328.9","5,506.4",
,,,,1973Q1,"1,377.5","5,642.7",
,,,,1973Q2,"1,413.9","5,704.1",
,,,,1973Q3,"1,433.8","5,674.1",
,,,,1973Q4,"1,476.3","5,728.0",
,,,,1974Q1,"1,491.2","5,678.7",
,,,,1974Q2,"1,530.1","5,692.2",
,,,,1974Q3,"1,560.0","5,638.4",
,,,,1974Q4,"1,599.7","5,616.5",
,,,,1975Q1,"1,616.1","5,548.2",
,,,,1975Q2,"1,651.9","5,587.8",
,,,,1975Q3,"1,709.8","5,683.4",
,,,,1975Q4,"1,761.8","5,760.0",
,,,,1976Q1,"1,820.5","5,889.5",
,,,,1976Q2,"1,852.3","5,932.7",
,,,,1976Q3,"1,886.6","5,965.3",
,,,,1976Q4,"1,934.3","6,008.5",
,,,,1977Q1,"1,988.6","6,079.5",
,,,,1977Q2,"2,055.9","6,197.7",
,,,,1977Q3,"2,118.5","6,309.5",
,,,,1977Q4,"2,164.3","6,309.7",
,,,,1978Q1,"2,202.8","6,329.8",
,,,,1978Q2,"2,331.6","6,574.4",
,,,,1978Q3,"2,395.1","6,640.5",
,,,,1978Q4,"2,476.9","6,729.8",
,,,,1979Q1,"2,526.6","6,741.9",
,,,,1979Q2,"2,591.2","6,749.1",
,,,,1979Q3,"2,667.6","6,799.2",
,,,,1979Q4,"2,723.9","6,816.2",
,,,,1980Q1,"2,789.8","6,837.6",
,,,,1980Q2,"2,797.4","6,696.8",
,,,,1980Q3,"2,856.5","6,688.8",
,,,,1980Q4,"2,985.6","6,813.5",
,,,,1981Q1,"3,124.2","6,947.0",
,,,,1981Q2,"3,162.5","6,895.6",
,,,,1981Q3,"3,260.6","6,978.1",
,,,,1981Q4,"3,280.8","6,902.1",
,,,,1982Q1,"3,274.3","6,794.9",
,,,,1982Q2,"3,332.0","6,825.9",
,,,,1982Q3,"3,366.3","6,799.8",
,,,,1982Q4,"3,402.6","6,802.5",
,,,,1983Q1,"3,473.4","6,892.1",
,,,,1983Q2,"3,578.8","7,049.0",
,,,,1983Q3,"3,689.2","7,189.9",
,,,,1983Q4,"3,794.7","7,339.9",
,,,,1984Q1,"3,908.1","7,483.4",
,,,,1984Q2,"4,009.6","7,612.7",
,,,,1984Q3,"4,084.3","7,686.1",
,,,,1984Q4,"4,148.6","7,749.2",
,,,,1985Q1,"4,230.2","7,824.2",
,,,,1985Q2,"4,294.9","7,893.1",
,,,,1985Q3,"4,386.8","8,013.7",
,,,,1985Q4,"4,444.1","8,073.2",
,,,,1986Q1,"4,507.9","8,148.6",
,,,,1986Q2,"4,545.3","8,185.3",
,,,,1986Q3,"4,607.7","8,263.6",
,,,,1986Q4,"4,657.6","8,308.0",
,,,,1987Q1,"4,722.2","8,369.9",
,,,,1987Q2,"4,806.2","8,460.2",
,,,,1987Q3,"4,884.6","8,533.6",
,,,,1987Q4,"5,008.0","8,680.2",
,,,,1988Q1,"5,073.4","8,725.0",
,,,,1988Q2,"5,190.0","8,839.6",
,,,,1988Q3,"5,282.8","8,891.4",
,,,,1988Q4,"5,399.5","9,009.9",
,,,,1989Q1,"5,511.3","9,101.5",
,,,,1989Q2,"5,612.5","9,171.0",
,,,,1989Q3,"5,695.4","9,238.9",
,,,,1989Q4,"5,747.2","9,257.1",
,,,,1990Q1,"5,872.7","9,358.3",
,,,,1990Q2,"5,960.0","9,392.3",
,,,,1990Q3,"6,015.1","9,398.5",
,,,,1990Q4,"6,004.7","9,312.9",
,,,,1991Q1,"6,035.2","9,269.4",
,,,,1991Q2,"6,126.9","9,341.6",
,,,,1991Q3,"6,205.9","9,388.8",
,,,,1991Q4,"6,264.5","9,421.6",
,,,,1992Q1,"6,363.1","9,534.3",
,,,,1992Q2,"6,470.8","9,637.7",
,,,,1992Q3,"6,566.6","9,733.0",
,,,,1992Q4,"6,680.8","9,834.5",
,,,,1993Q1,"6,729.5","9,851.0",
,,,,1993Q2,"6,808.9","9,908.3",
,,,,1993Q3,"6,882.1","9,955.6",
,,,,1993Q4,"7,013.7","10,091.0",
,,,,1994Q1,"7,115.7","10,189.0",
,,,,1994Q2,"7,246.9","10,327.0",
,,,,1994Q3,"7,331.1","10,387.4",
,,,,1994Q4,"7,455.3","10,506.4",
,,,,1995Q1,"7,522.3","10,543.6",
,,,,1995Q2,"7,581.0","10,575.1",
,,,,1995Q3,"7,683.1","10,665.1",
,,,,1995Q4,"7,772.6","10,737.5",
,,,,1996Q1,"7,868.5","10,817.9",
,,,,1996Q2,"8,032.8","10,998.3",
,,,,1996Q3,"8,131.4","11,097.0",
,,,,1996Q4,"8,259.8","11,212.2",
,,,,1997Q1,"8,362.7","11,284.6",
,,,,1997Q2,"8,518.8","11,472.1",
,,,,1997Q3,"8,662.8","11,615.6",
,,,,1997Q4,"8,765.9","11,715.4",
,,,,1998Q1,"8,866.5","11,832.5",
,,,,1998Q2,"8,969.7","11,942.0",
,,,,1998Q3,"9,121.1","12,091.6",
,,,,1998Q4,"9,294.0","12,287.0",
,,,,1999Q1,"9,417.3","12,403.3",
,,,,1999Q2,"9,524.2","12,498.7",
,,,,1999Q3,"9,681.9","12,662.4",
,,,,1999Q4,"9,899.4","12,877.6",
,,,,2000Q1,"10,002.9","12,924.2",
,,,,2000Q2,"10,247.7","13,160.8",
,,,,2000Q3,"10,319.8","13,178.4",
,,,,2000Q4,"10,439.0","13,260.5",
,,,,2001Q1,"10,472.9","13,222.7",
,,,,2001Q2,"10,597.8","13,300.0",
,,,,2001Q3,"10,596.3","13,244.8",
,,,,2001Q4,"10,660.3","13,280.9",
,,,,2002Q1,"10,789.0","13,397.0",
,,,,2002Q2,"10,893.2","13,478.2",
,,,,2002Q3,"10,992.1","13,538.1",
,,,,2002Q4,"11,071.5","13,559.0",
,,,,2003Q1,"11,183.5","13,634.3",
,,,,2003Q2,"11,312.9","13,751.5",
,,,,2003Q3,"11,567.3","13,985.1",
,,,,2003Q4,"11,769.3","14,145.6",
,,,,2004Q1,"11,920.2","14,221.1",
,,,,2004Q2,"12,109.0","14,329.5",
,,,,2004Q3,"12,303.3","14,465.0",
,,,,2004Q4,"12,522.4","14,609.9",
,,,,2005Q1,"12,761.3","14,771.6",
,,,,2005Q2,"12,910.0","14,839.8",
,,,,2005Q3,"13,142.9","14,972.1",
,,,,2005Q4,"13,332.3","15,066.6",
,,,,2006Q1,"13,603.9","15,267.0",
,,,,2006Q2,"13,749.8","15,302.7",
,,,,2006Q3,"13,867.5","15,326.4",
,,,,2006Q4,"14,037.2","15,456.9",
,,,,2007Q1,"14,208.6","15,493.3",
,,,,2007Q2,"14,382.4","15,582.1",
,,,,2007Q3,"14,535.0","15,666.7",
,,,,2007Q4,"14,681.5","15,762.0",
,,,,2008Q1,"14,651.0","15,671.4",
,,,,2008Q2,"14,805.6","15,752.3",
,,,,2008Q3,"14,835.2","15,667.0",
,,,,2008Q4,"14,559.5","15,328.0",
,,,,2009Q1,"14,394.5","15,155.9",
,,,,2009Q2,"14,352.9","15,134.1",
,,,,2009Q3,"14,420.3","15,189.2",
,,,,2009Q4,"14,628.0","15,356.1",
,,,,2010Q1,"14,721.4","15,415.1",
,,,,2010Q2,"14,926.1","15,557.3",
,,,,2010Q3,"15,079.9","15,672.0",
,,,,2010Q4,"15,240.8","15,750.6",
,,,,2011Q1,"15,285.8","15,712.8",
,,,,2011Q2,"15,496.2","15,825.1",
,,,,2011Q3,"15,591.9","15,820.7",
,,,,2011Q4,"15,796.5","16,004.1",
,,,,2012Q1,"16,019.8","16,129.4",
,,,,2012Q2,"16,152.3","16,198.8",
,,,,2012Q3,"16,257.2","16,220.7",
,,,,2012Q4,"16,358.9","16,239.1",
,,,,2013Q1,"16,569.6","16,383.0",
,,,,2013Q2,"16,637.9","16,403.2",
,,,,2013Q3,"16,848.7","16,531.7",
,,,,2013Q4,"17,083.1","16,663.6",
,,,,2014Q1,"17,104.6","16,616.5",
,,,,2014Q2,"17,432.9","16,841.5",
,,,,2014Q3,"17,721.7","17,047.1",
,,,,2014Q4,"17,849.9","17,143.0",
,,,,2015Q1,"18,003.4","17,305.8",
,,,,2015Q2,"18,223.6","17,422.8",
,,,,2015Q3,"18,347.4","17,486.0",
,,,,2015Q4,"18,378.8","17,514.1",
,,,,2016Q1,"18,470.2","17,613.3",
,,,,2016Q2,"18,656.2","17,668.2",
,,,,2016Q3,"18,821.4","17,764.4",
,,,,2016Q4,"19,032.6","17,876.2",
,,,,2017Q1,"19,237.4","17,977.3",
,,,,2017Q2,"19,379.2","18,054.1",
,,,,2017Q3,"19,617.3","18,185.6",
,,,,2017Q4,"19,938.0","18,359.4",
,,,,2018Q1,"20,242.2","18,530.5",
,,,,2018Q2,"20,552.7","18,654.4",
,,,,2018Q3,"20,742.7","18,752.4",
,,,,2018Q4,"20,909.9","18,813.9",
,,,,2019Q1,"21,115.3","18,950.3",
,,,,2019Q2,"21,329.9","19,020.6",
,,,,2019Q3,"21,540.3","19,141.7",
,,,,2019Q4,"21,747.4","19,254.0",
,,,,2020Q1,"21,561.1","19,010.8",
,,,,2020Q2,"19,408.8","17,205.8",
